Week,Heat_OilF,Henry_Spot,Nat_GasF
2019-12-16,2.0219,2.276,2.3094
2019-12-23,2.0413,2.03,2.222
2019-12-30,2.0469,2.065,2.1567499999999997
2020-01-06,1.9725166666666665,2.092,2.1612
2020-01-13,1.8806166666666666,2.064,2.1138
2020-01-21,1.7705000000000002,1.9325,1.90475
2020-01-27,1.6626333333333332,1.954,1.8741666666666665
2020-02-03,1.6247833333333332,1.8940000000000001,1.8438333333333334
2020-02-10,1.6653833333333337,1.8980000000000001,1.8256666666666668
2020-02-18,1.68246,1.9974999999999998,1.9278
2020-02-24,1.5188666666666668,1.8650000000000002,1.7956666666666665
2020-03-02,1.4544499999999998,1.795,1.7485
2020-03-09,1.2140333333333333,1.8849999999999998,1.8253333333333333
2020-03-16,1.0329500000000003,1.785,1.7013333333333336
2020-03-23,1.0706,1.7266666666666663,1.6385000000000003
2020-03-30,1.01814,1.6199999999999999,1.6306
2020-04-06,1.02386,1.7675,1.7604
2020-04-13,0.9636,1.72,1.7016666666666669
2020-04-20,0.7468,1.8539999999999999,1.8345
2020-04-27,0.7254166666666667,1.706,1.8948333333333336
2020-05-04,0.8636,1.8379999999999999,1.9191666666666667
2020-05-11,0.8853500000000002,1.6260000000000001,1.7016666666666669
2020-05-18,0.9900333333333333,1.78,1.7588333333333335
2020-05-26,1.0138200000000002,1.7650000000000001,1.8669999999999998
2020-06-01,1.079,1.698,1.8038333333333332
2020-06-08,1.13235,1.704,1.7796666666666665
2020-06-15,1.1738833333333336,1.524,1.6628333333333334
2020-06-22,1.1874500000000001,1.568,1.6611666666666667
2020-06-29,1.19014,1.7066666666666663,1.6856000000000002
2020-07-06,1.2351,1.784,1.8034999999999999
2020-07-13,1.2285833333333334,1.766,1.7441666666666664
2020-07-20,1.2577999999999998,1.716,1.7245
2020-07-27,1.2509000000000001,1.84,1.7610000000000001
